"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007064","mitotic sister chromatid cohesion",31,0.624086910372712,1.96486020569252,0.000392012017647481,0.0096506527000104,0.0082494601486157,7518,"tags=71%, list=32%, signal=48%","79075/151648/991/157570/113130/83903/699/84250/8243/23047/9126/5885/10274/55719/55869/10735/23137/5925/9555/23244/80218/25836"
"GO:0090232","positive regulation of spindle checkpoint",13,0.772297348150462,1.96665420150157,0.00040035082755754,0.00981521264421028,0.00839012739091879,5224,"tags=92%, list=22%, signal=72%","10403/9212/55143/57082/332/4085/3619/348654/7517/55795/7175/8379"
"GO:0098659","inorganic cation import across plasma membrane",99,-0.466467870982045,-1.69939061516932,0.000412027863919286,0.0100186939206276,0.00856406491959931,4740,"tags=39%, list=20%, signal=32%","51393/285335/1739/54795/777/56302/778/5535/6833/4308/478/201266/6559/3766/2534/84679/493/261729/5621/3772/773/6549/6337/6543/6547/3783/25769/3768/6553/3759/6529/284525/169026/27112/610/6557/389015/931/1261"
"GO:0099587","inorganic ion import across plasma membrane",99,-0.466467870982045,-1.69939061516932,0.000412027863919286,0.0100186939206276,0.00856406491959931,4740,"tags=39%, list=20%, signal=32%","51393/285335/1739/54795/777/56302/778/5535/6833/4308/478/201266/6559/3766/2534/84679/493/261729/5621/3772/773/6549/6337/6543/6547/3783/25769/3768/6553/3759/6529/284525/169026/27112/610/6557/389015/931/1261"
"GO:0071826","protein-RNA complex organization",214,0.341049284851619,1.49773723526857,0.000420542181341961,0.0101839867832729,0.00870535866683381,8021,"tags=44%, list=34%, signal=29%","101954264/11189/29960/11168/6063/57819/26827/60677/101954267/84811/91695/6632/6636/55299/51154/8233/6060/50628/5822/96764/285962/102724159/10946/9879/9733/6606/8607/120379/55192/8175/79833/58155/8487/55702/6232/6628/6635/27161/6433/6426/25929/55011/84844/26747/6637/27339/10419/5591/92345/79760/9416/23246/26864/26828/7536/1660/11338/10856/6895/23212/9092/8669/4931/10728/6627/3326/8899/10772/3320/29997/10291/26121/57461/4839/10658/27336/23450/9129/27349/6732/10713/6209/11218/51634/10992/8161/29777/54496/121053/3799/7520/26830/8559/23405/6125"
"GO:0090306","meiotic spindle assembly",14,0.755999142114534,1.97051294421143,0.0004324173234896,0.0103448870171927,0.0088428975576099,1710,"tags=50%, list=7%, signal=46%","221150/10403/259266/26271/220134/6790/9133"
"GO:0060623","regulation of chromosome condensation",13,0.769121999219959,1.95856817954336,0.000432166339385187,0.0103448870171927,0.0088428975576099,2417,"tags=62%, list=10%, signal=55%","64151/10051/54892/23397/9918/10592/23310/29781"
"GO:0030595","leukocyte chemotaxis",176,-0.407879391989829,-1.60753818253929,0.000430154788514642,0.0103448870171927,0.0088428975576099,5442,"tags=36%, list=23%, signal=28%","57118/351/5293/4681/1910/7060/4313/4067/7057/972/1435/7042/10488/728/10344/1525/54795/5595/2920/56833/2660/22914/3071/6346/566/5196/6348/4282/23396/6372/4739/5880/3569/64065/6387/2277/5054/683/1803/64127/58191/7422/79148/3815/2358/2621/146433/26228/1230/1236/6356/2150/7852/5800/2155/11240/10451/7474/1588/3689/6288/26585/54210/7857"
"GO:1990504","dense core granule exocytosis",11,-0.813588989884054,-1.85800510055106,0.000438923679434459,0.0104583702413038,0.00893990398442284,931,"tags=36%, list=4%, signal=35%","6616/8618/23025/440279"
"GO:0007632","visual behavior",51,-0.558018683241509,-1.80613585305321,0.000445998043354925,0.0105844255648991,0.00904765714898538,4510,"tags=43%, list=19%, signal=35%","10347/164312/3156/7846/351/3091/5153/3688/6833/27087/1020/2780/84152/143941/5896/3815/1813/2903/2902/9241/3198/81832"
