"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000127423",30.4899643572628,1.60360038730804,0.538064505561714,2.98031252894847,0.00287954433291565,0.0480262640770198
"ENSG00000156876",155.785673495214,1.26576207241634,0.401504812624,3.15254520647974,0.00161853757906551,0.034710009755775
"ENSG00000184270",83.8916239686245,1.77579167761579,0.558453577943503,3.17983758677868,0.00147357616902227,0.0326614568924694
"ENSG00000203814",95.9438871349398,1.6448713049616,0.462362965772406,3.55753255932543,0.000374354712141175,0.0157433675589056
"ENSG00000226520",36.3978043090718,1.38533214152571,0.436624649390151,3.17282165232917,0.00150965230356235,0.0331288379977491
"ENSG00000184005",18.1809386948514,2.51101544782305,0.750759315705772,3.34463441917134,0.000823910937242733,0.0243723252582836
"ENSG00000286429",17.4371179459054,2.27199065147937,0.674595661560515,3.36792953311272,0.000757349506848844,0.0232479250405922
"ENSG00000132855",49.5390030902629,1.55086910869429,0.401966711500613,3.85820284198318,0.000114223833964135,0.0074974084363958
"ENSG00000162595",91.3777904474645,4.16243733426613,0.405484662441665,10.2653385437605,1.00966205383609e-24,1.56204816348982e-20
"ENSG00000000460",151.026790761581,1.41920987858761,0.428880592851173,3.30910258529718,0.000935955365039432,0.0258358536825494
"ENSG00000121957",418.12358970514,1.1945984862794,0.401514924002623,2.97522810452644,0.00292770757907806,0.0482884477141969
"ENSG00000159164",94.7703956641454,1.1613121657973,0.349962601738451,3.3183893365418,0.000905381901364126,0.0256746006000857
"ENSG00000143815",702.303334374231,1.25715458015178,0.422957461352481,2.97229554984514,0.00295581998532629,0.0485966960605557
"ENSG00000180198",351.588225704026,1.09104035461236,0.306790160022862,3.55630817667378,0.000376102865768963,0.0157433675589056
"ENSG00000143401",1698.90323381707,1.25633087459889,0.328452447800594,3.82500079695438,0.000130771663453619,0.00812517431843752
"ENSG00000142856",182.227129815067,1.50177699807544,0.450619315289075,3.33269557500445,0.000860089961292988,0.0251864321731871
"ENSG00000162607",686.666980601302,1.30627538593673,0.366111903759781,3.56796753266408,0.000359761069210191,0.015460731949308
"ENSG00000122483",451.505704479299,1.30329260561617,0.388448144382954,3.3551263520294,0.000793287422387896,0.0239706049057874
"ENSG00000049246",115.353762740883,1.39515919173938,0.364073637532155,3.832079689143,0.000127064564300688,0.00801084886074444
