"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213625",419.938477171886,-0.782467006352143,0.235091107706057,-3.32835645715061,0.000873600109740284,0.0253573495268141
"ENSG00000047410",4235.05154087035,0.598013490330567,0.20145411726151,2.96848482651897,0.00299271877481725,0.0488916073550134
"ENSG00000127423",30.4899643572628,1.60360038730804,0.538064505561714,2.98031252894847,0.00287954433291565,0.0480262640770198
"ENSG00000282057",213.129521887196,-1.38450579462299,0.395117689103075,-3.50403394433148,0.00045826694023415,0.0172794103923025
"ENSG00000133216",475.251359634868,-1.43359222116809,0.424554152379455,-3.37670050600938,0.0007336088130544,0.022866126294523
"ENSG00000156876",155.785673495214,1.26576207241634,0.401504812624,3.15254520647974,0.00161853757906551,0.034710009755775
"ENSG00000184270",83.8916239686245,1.77579167761579,0.558453577943503,3.17983758677868,0.00147357616902227,0.0326614568924694
"ENSG00000203668",626.036485666832,0.847607417619476,0.268919064718803,3.1519052712227,0.00162208887941473,0.034710009755775
"ENSG00000135823",475.68200539785,-0.579358070235949,0.194568588697031,-2.97765468781853,0.00290463030383906,0.048204572448154
"ENSG00000203814",95.9438871349398,1.6448713049616,0.462362965772406,3.55753255932543,0.000374354712141175,0.0157433675589056
"ENSG00000143469",194.734271250108,-1.79146546987641,0.527633244774871,-3.39528543285932,0.000685570868981334,0.0220318791731434
"ENSG00000285928",15.5367659989776,-2.5464016623942,0.830399067418939,-3.06647943417009,0.00216595707869561,0.0408069871075904
"ENSG00000226520",36.3978043090718,1.38533214152571,0.436624649390151,3.17282165232917,0.00150965230356235,0.0331288379977491
"ENSG00000162923",1567.31452227792,-0.725139291330583,0.228027788345378,-3.18004790816224,0.00147250705799842,0.0326614568924694
"ENSG00000184005",18.1809386948514,2.51101544782305,0.750759315705772,3.34463441917134,0.000823910937242733,0.0243723252582836
"ENSG00000203721",32.4722165906937,-2.48822399952541,0.779242367532113,-3.19313233366109,0.00140738433361608,0.0318863918215544
"ENSG00000286429",17.4371179459054,2.27199065147937,0.674595661560515,3.36792953311272,0.000757349506848844,0.0232479250405922
"ENSG00000227496",22.2890939704725,-1.86905922874829,0.616378203694642,-3.03232531187011,0.00242677514575933,0.0433040810611794
"ENSG00000302966",31.6195778565644,-1.26536104220638,0.426587684985923,-2.96623903300943,0.00301466085078516,0.049146278211272
"ENSG00000188157",840.184005736675,-0.810909392653914,0.249009768802114,-3.25653646664094,0.00112780442486084,0.0283727766261072
"ENSG00000143162",372.608923113314,-1.49628399404346,0.433913934402198,-3.44834280582597,0.000564037675666902,0.0195589616243149
