"MCODE::Clusters (1)","MCODE::Clusters (2)","MCODE::Node Status (1)","MCODE::Node Status (2)","MCODE::Score (1)","MCODE::Score (2)","name","selected","shared name"
"","","Unclustered","Unclustered","5.571428571428571","5.571428571428571","""9606.ENSP00000420588""","false","""9606.ENSP00000420588"""
"Cluster 4","","Clustered","Unclustered","12.294930875576037","12.294930875576037","""9606.ENSP00000418960""","false","""9606.ENSP00000418960"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000418944""","false","""9606.ENSP00000418944"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000360020""","false","""9606.ENSP00000360020"""
"Cluster 5","","Clustered","Unclustered","4.0","4.0","""9606.ENSP00000418563""","false","""9606.ENSP00000418563"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000411816""","false","""9606.ENSP00000411816"""
"","","Unclustered","Unclustered","3.7333333333333334","3.7333333333333334","""9606.ENSP00000410811""","false","""9606.ENSP00000410811"""
"","","Unclustered","Unclustered","3.466666666666667","3.466666666666667","""9606.ENSP00000410452""","false","""9606.ENSP00000410452"""
"","","Unclustered","Unclustered","0.5","0.5","""9606.ENSP00000410396""","false","""9606.ENSP00000410396"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000260327""","false","""9606.ENSP00000260327"""
"Cluster 2","","Clustered","Unclustered","19.60483870967742","19.60483870967742","""9606.ENSP00000408295""","false","""9606.ENSP00000408295"""
"","","Unclustered","Unclustered","4.0","4.0","""9606.ENSP00000401564""","false","""9606.ENSP00000401564"""
"Cluster 4","","Clustered","Unclustered","12.674999999999999","12.674999999999999","""9606.ENSP00000396308""","false","""9606.ENSP00000396308"""
"","","Unclustered","Unclustered","3.888888888888889","3.888888888888889","""9606.ENSP00000389810""","false","""9606.ENSP00000389810"""
"","","Unclustered","Unclustered","25.0","25.0","""9606.ENSP00000386239""","true","""9606.ENSP00000386239"""
"","","Unclustered","Unclustered","2.0","2.0","""9606.ENSP00000385510""","false","""9606.ENSP00000385510"""
"Cluster 8","","Clustered","Unclustered","3.238095238095238","3.238095238095238","""9606.ENSP00000385215""","false","""9606.ENSP00000385215"""
"Cluster 4","","Clustered","Unclustered","12.241666666666667","12.241666666666667","""9606.ENSP00000385021""","false","""9606.ENSP00000385021"""
"","","Unclustered","Unclustered","9.420289855072463","9.420289855072463","""9606.ENSP00000384048""","false","""9606.ENSP00000384048"""
"","","Unclustered","Unclustered","1.4","1.4","""9606.ENSP00000383808""","false","""9606.ENSP00000383808"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000381549""","false","""9606.ENSP00000381549"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000381504""","false","""9606.ENSP00000381504"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000381382""","false","""9606.ENSP00000381382"""
"","","Unclustered","Unclustered","6.88235294117647","6.88235294117647","""9606.ENSP00000380414""","false","""9606.ENSP00000380414"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000379616""","false","""9606.ENSP00000379616"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000358677""","false","""9606.ENSP00000358677"""
"Cluster 4","","Clustered","Unclustered","12.853801169590643","12.853801169590643","""9606.ENSP00000378295""","false","""9606.ENSP00000378295"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000378235""","false","""9606.ENSP00000378235"""
"Cluster 2","","Clustered","Unclustered","17.923333333333332","17.923333333333332","""9606.ENSP00000377793""","false","""9606.ENSP00000377793"""
"","","Unclustered","Unclustered","7.0","7.0","""9606.ENSP00000377384""","false","""9606.ENSP00000377384"""
"Cluster 4","","Clustered","Unclustered","10.431372549019608","10.431372549019608","""9606.ENSP00000376952""","false","""9606.ENSP00000376952"""
"Cluster 3","","Clustered","Unclustered","14.891774891774892","14.891774891774892","""9606.ENSP00000376457""","false","""9606.ENSP00000376457"""
"Cluster 10","","Clustered","Unclustered","3.0","3.0","""9606.ENSP00000374354""","false","""9606.ENSP00000374354"""
"Cluster 4","","Clustered","Unclustered","12.231578947368423","12.231578947368423","""9606.ENSP00000373952""","false","""9606.ENSP00000373952"""
"Cluster 7","","Clustered","Unclustered","5.2","5.2","""9606.ENSP00000371308""","false","""9606.ENSP00000371308"""
"Cluster 8","","Clustered","Unclustered","3.5999999999999996","3.5999999999999996","""9606.ENSP00000370803""","false","""9606.ENSP00000370803"""
"","","Unclustered","Unclustered","2.7","2.7","""9606.ENSP00000370460""","false","""9606.ENSP00000370460"""
"Cluster 7","","Clustered","Unclustered","5.2","5.2","""9606.ENSP00000370337""","false","""9606.ENSP00000370337"""
"","","Unclustered","Unclustered","17.0","17.0","""9606.ENSP00000370109""","false","""9606.ENSP00000370109"""
"","","Unclustered","Unclustered","5.785714285714286","5.785714285714286","""9606.ENSP00000370021""","false","""9606.ENSP00000370021"""
"","","Unclustered","Unclustered","2.0","2.0","""9606.ENSP00000369887""","false","""9606.ENSP00000369887"""
"Cluster 10","","Clustered","Unclustered","3.0","3.0","""9606.ENSP00000369757""","false","""9606.ENSP00000369757"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000351475""","false","""9606.ENSP00000351475"""
